Case	Converged	Monotone	Algo12Diff	LastTR	ObjSpeed	ConSpeed
C_U0	Both	Mono	Identical	Small	Similar	Similar
C_U1	Both	Alg1	Likewise	Small	Alg1Faster	Alg1Faster
C_U2	Both	Mono	Identical	Small	Similar	Similar
C_U3	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
C_U4	Both	Mono	Identical	Small	Similar	Similar
C_U5	Both	Mono	Identical	Small	Similar	Similar
C_U6	Both	Mono	Identical	Small	Similar	Similar
C_U7	Both	Mono	Identical	Small	Similar	Similar
C_R0	Both	Mono	Identical	Small	Similar	Similar
C_R1	Both	Mono	Identical	Small	Similar	Similar
C_R2	Both	Mono	Identical	Small	Similar	Similar
C_R3	Both	Mono	Identical	Small	Similar	Similar
C_R4	Both	Mono	Likewise	Small	Alg2Faster	Alg2Faster
C_P0	Both	Mono	Identical	Small	Similar	Similar
C_P1	Both	Mono	Identical	Small	Similar	Similar
C_P2	Both	Mono	Identical	Small	Similar	Similar
C_P3	Both	Mono	Identical	Small	Similar	Similar
C_P4	Fail	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
C_P5	Fail	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
C_PF0	Both	Mono	Identical	Small	Similar	Similar
C_PF1	Both	Mono	Identical	Small	Similar	Similar
C_PF2	Both	Mono	Identical	Small	Similar	Similar
C_PF3	Both	Mono	Identical	Small	Similar	Similar
C_PF4	Alg1	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
C_PF5	Alg1	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
C_PIF0	Both	Alg1	Likewise	Small	Alg1Faster	Alg1Faster
C_PIF1	Both	Alg1	Likewise	Small	Alg1Faster	Alg1Faster
C_PIF2	Both	Mono	Likewise	Small	Alg1Faster	Alg1Faster
C_PIF3	Both	Mono	Different	Small	Alg1Faster	Alg1Faster
C_PIF4	Fail	Mono	VeryDiff	Small	Alg1Faster	Alg1Faster
C_PIF5	Fail	Alg2	VeryDiff	Small	Alg1Faster	Alg1Faster
C_X0	Both	Mono	Identical	Small	Similar	Similar
C_X1	Both	Mono	Identical	Small	Similar	Similar
C_X2	Both	Mono	Identical	Small	Similar	Similar
C_X3	Both	Mono	Identical	Small	Similar	Similar
C_X4	Both	Mono	Identical	Small	Similar	Similar
C_XF0	Both	Mono	Identical	Small	Similar	Similar
C_XF1	Both	Mono	Identical	Small	Similar	Similar
C_XF2	Both	Mono	Identical	Small	Similar	Similar
C_XF3	Both	Mono	Identical	Small	Similar	Similar
C_XF4	Both	Mono	Identical	Small	Similar	Similar
C_XIF0	Both	Alg1	Likewise	Small	Alg1Faster	Alg1Faster
C_XIF1	Both	Alg1	VeryDiff	Small	Alg2Faster	Alg2Faster
C_XIF2	Both	Alg1	Likewise	Small	Alg1Faster	Alg2Faster
C_XIF3	Both	Osc	Identical	Small	Alg2Faster	Alg1Faster
C_XIF4	Both	Osc	Identical	Small	Similar	Similar
C_XR0	Both	Mono	Identical	Small	Similar	Similar
C_XR1	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
C_XR2	Both	Mono	Identical	Small	Alg1Faster	Alg2Faster
