RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
56	2.731433e-01	1.562500e-05	1.562500e-05		-2.103335e+02	1.986977e-08	-2.103333e+01	-2.103333e+01	-1.764265e+02	-2.103335e+02	4.801029e-02	1.749893e-08	1.122875e-01	3.875891e-01	2.765221e-01	9.559095e-02	1.280103e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.390697e+01	-4.907383e+01	3.856456e+01	-1.838318e+01	-4.801027e-02	-1.813814e-03	6.328258e-04	-1.752466e-03
57	2.045803e-01	1.562500e-05	1.562500e-05		-2.103335e+02	1.959855e-08	-2.103334e+01	-2.103333e+01	-1.764182e+02	-2.103335e+02	4.801236e-02	1.750160e-08	1.122460e-01	3.876219e-01	2.765270e-01	9.559272e-02	1.280124e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.391535e+01	-4.908999e+01	3.856386e+01	-1.838068e+01	-4.801234e-02	-1.818383e-03	6.345573e-04	-1.752349e-03
58	1.438082e-01	1.562500e-05	1.562500e-05		-2.103335e+02	1.967528e-08	-2.103334e+01	-2.103333e+01	-1.764409e+02	-2.103335e+02	4.800643e-02	1.750179e-08	1.122923e-01	3.875842e-01	2.765239e-01	9.559314e-02	1.280064e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.389266e+01	-4.907050e+01	3.856424e+01	-1.838062e+01	-4.800641e-02	-1.813087e-03	6.324603e-04	-1.752435e-03
59	-3.445940e-02	1.562500e-05	7.812500e-06		-2.103335e+02	1.994812e-08	-2.103334e+01	-2.103333e+01	-1.764304e+02	-2.103336e+02	4.800907e-02	1.750172e-08	1.122469e-01	3.876201e-01	2.765290e-01	9.559483e-02	1.280091e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.390317e+01	-4.908829e+01	3.856351e+01	-1.837819e+01	-4.800905e-02	-1.818096e-03	6.343675e-04	-1.752312e-03
60	-4.322830e-02	7.812500e-06	3.906250e-06				-2.103334e+01		-1.764535e+02	-2.103335e+02	4.800304e-02	1.750184e-08	1.122997e-01	3.875774e-01	2.765250e-01	9.559483e-02	1.280030e-01												
61	-3.762468e-02	3.906250e-06	1.953125e-06				-2.103334e+01		-1.764533e+02	-2.103335e+02	4.800309e-02	1.762447e-08	1.122991e-01	3.875779e-01	2.765251e-01	9.559484e-02	1.280031e-01												
62	-3.625305e-02	1.953125e-06	9.765625e-07				-2.103334e+01		-1.764533e+02	-2.103335e+02	4.800311e-02	1.762441e-08	1.122989e-01	3.875780e-01	2.765251e-01	9.559484e-02	1.280031e-01												
63	-3.591197e-02	9.765625e-07	4.882813e-07				-2.103334e+01		-1.764533e+02	-2.103335e+02	4.800311e-02	1.762439e-08	1.122989e-01	3.875781e-01	2.765251e-01	9.559484e-02	1.280031e-01												
64	-3.582684e-02	4.882813e-07	2.441406e-07				-2.103334e+01		-1.764532e+02	-2.103335e+02	4.800311e-02	1.762438e-08	1.122989e-01	3.875781e-01	2.765251e-01	9.559484e-02	1.280031e-01												
65	-3.580574e-02	2.441406e-07	1.220703e-07				-2.103334e+01		-1.764532e+02	-2.103335e+02	4.800311e-02	1.762438e-08	1.122989e-01	3.875781e-01	2.765251e-01	9.559484e-02	1.280031e-01												
